report_date,report_month,user_id,current_cc_id,current_cc_name,current_cc_group,current_assigned_time,first_cc_id,first_cc_name,first_assigned_time,assign_count,is_reassigned,lead_source_raw,has_trial_booked,trial_count,first_trial_time,latest_trial_time,latest_trial_status,is_cancelled,is_absent,is_attended,outbound_call_count,connected_call_count,effective_connected_call_count,short_call_count_lt20s,total_connected_duration_sec,distinct_call_days,distinct_call_time_slots,first_call_time,last_call_time,last_call_duration_sec,post_class_call_within_6h,post_class_call_after_6h,is_ordered,order_id,order_time,processed_time,paid_amount,package_name,payment_method,closed_sales_name,closed_sales_group,lead_quality_category,lead_quality_reason,lead_quality_confidence,final_status,data_join_status,missing_data_flags
2026-04-29,2026-04,59923479,4121806,,,2026-04-19T17:45:52+08:00,4121806,,2026-04-19T17:45:52+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/19 17:49,2026/4/19 17:49,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,61269611,4121807,,,2026-04-16T22:18:48+08:00,4121807,,2026-04-16T22:18:48+08:00,1,0,CC人工改派,1,1,2026-04-16 17:30 ~ 18:00,2026-04-16 17:30 ~ 18:00,cancel,1,0,0,1,1,1,0,78,1,1,2026/4/16 22:17,2026/4/16 22:17,78,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,booked_not_attended,joined_by_user_id_only,missing_order
2026-04-29,2026-04,61271360,4123060,,,2026-04-23T22:13:37+08:00,4123060,,2026-04-23T22:13:37+08:00,1,0,CC人工改派,1,1,2026-04-23 21:00 ~ 21:30,2026-04-23 21:00 ~ 21:30,s_absent,0,1,0,2,0,0,0,0,2,2,2026/4/23 22:50,2026-04-27 19:34:46,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,booked_not_attended,joined_by_user_id_only,missing_order
2026-04-29,2026-04,61432105,4123057,,,2026-04-25T19:03:30+08:00,4123057,,2026-04-25T19:03:30+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,0,1,5,1,1,2026/4/25 19:12,2026/4/25 19:12,5,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,61437225,4123060,,,2026-04-23T22:14:51+08:00,4123060,,2026-04-23T22:14:51+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/23 22:49,2026/4/23 22:49,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,61494299,4123057,,,2026-04-25T18:59:12+08:00,4123057,,2026-04-25T18:59:12+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/25 19:10,2026/4/25 19:10,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,61505309,4123060,,,2026-04-23T22:20:57+08:00,4123060,,2026-04-23T22:20:57+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,119,1,1,2026/4/23 22:44,2026/4/23 22:44,119,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,61556717,4123060,,,2026-04-22T23:21:44+08:00,4123060,,2026-04-22T23:21:44+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,76,1,1,2026/4/23 0:46,2026/4/23 0:46,76,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,61620009,4123057,,,2026-04-25T19:04:11+08:00,4123057,,2026-04-25T19:04:11+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/25 19:13,2026/4/25 19:13,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,61757886,4123060,,,2026-04-22T23:37:02+08:00,4123060,,2026-04-22T23:37:02+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/23 0:44,2026/4/23 0:44,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
