user_id,sales_name,seat_id,outbound_time,connect_time_sec,call_duration_sec,ring_duration_sec,call_status,recording_url,user_id_clean,call_date,source,source_code,register_time,dispatch_time,sales_name_lead,sales_group,pay_intention,last_free_status,remark,call_status_lead,is_first_dispatch,trial_count,latest_trial_time,latest_trial_status,order_count,total_gmv,latest_order_time,has_trial,has_order,lead_quality,fraud_risk,followup_issue,course_feedback,next_action,risk_summary
62677046,EGCC-nadahassan,2314(Maqsam),2026-05-05 21:45:25,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302238797.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000509&Signature=aGrBvp73Ab9cINxgDKVQvhLyyF8%3D,62677046,2026-05-05,MKT,2,2026-03-11 05:21:51,2026-03-11 12:55:29,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,非首次分配,2.0,2026-03-12 22:30 ~ 23:00,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
62704582,EGCC-nadahassan,2314(Maqsam),2026-05-05 21:41:29,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302237235.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000509&Signature=Nk%2BgZddniqnEL7uo%2B6Jn3bfusy8%3D,62704582,2026-05-05,MKT,2,2026-03-14 20:36:50,2026-03-14 21:07:53,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,非首次分配,1.0,2026-03-15 14:00 ~ 14:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
62704582,EGCC-nadahassan,2314(Maqsam),2026-05-05 21:39:49,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302236570.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000510&Signature=OE9wS%2F8oERgpg7eWlSb7yIuqORY%3D,62704582,2026-05-05,MKT,2,2026-03-14 20:36:50,2026-03-14 21:07:53,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,非首次分配,1.0,2026-03-15 14:00 ~ 14:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
62694459,EGCC-nadahassan,2314(Maqsam),2026-05-05 21:19:20,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302228088.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000510&Signature=XF%2Bk9ybQpwonXTrvukLdgUbJaGo%3D,62694459,2026-05-05,MKT,1,2026-03-13 11:34:56,2026-03-13 11:35:58,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,首次分配,1.0,2026-03-15 17:00 ~ 17:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
62711752,EGCC-nadahassan,2314(Maqsam),2026-05-05 21:09:17,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302223883.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000511&Signature=4fJAb5rDui9ZbtH%2B87pbSFCxuH8%3D,62711752,2026-05-05,MKT,1,2026-03-15 18:13:39,2026-03-15 18:14:40,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,首次分配,1.0,2026-03-15 23:00 ~ 23:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
62683760,EGCC-nadahassan,2314(Maqsam),2026-05-05 21:03:30,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302221578.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000512&Signature=QjRsxaJMT9LYsSPGKibL0KvoocI%3D,62683760,2026-05-05,MKT,2,2026-03-12 03:58:07,2026-03-12 13:12:12,EGCC-nadahassan,前端销售部001组,,已结束,-,未拨打,非首次分配,2.0,2026-03-15 23:30 ~ 00:00,end,,,,yes,no,good_need,normal,not_followed_after_trial,price_issue,close_payment,good_need | normal | not_followed_after_trial | price_issue
62703994,EGCC-nadahassan,2314(Maqsam),2026-05-05 20:49:19,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302215630.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000512&Signature=StOqnZA2vc7kEoqL7VN0dZsH7MA%3D,62703994,2026-05-05,MKT,1,2026-03-14 19:03:07,2026-03-14 19:04:08,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,首次分配,1.0,2026-03-16 13:00 ~ 13:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
62705066,EGCC-nadahassan,2314(Maqsam),2026-05-05 20:46:47,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302214544.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000513&Signature=rRCgzeHfEnaqOVwJSi%2By4lelWsM%3D,62705066,2026-05-05,MKT,1,2026-03-14 22:30:40,2026-03-14 22:31:40,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,首次分配,1.0,2026-03-16 18:00 ~ 18:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
62707368,EGCC-nadahassan,2314(Maqsam),2026-05-05 20:13:06,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302199403.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000513&Signature=04AAxOV3PC%2B7rEqSCYV%2BKPaWQ9E%3D,62707368,2026-05-05,MKT,1,2026-03-15 07:08:13,2026-03-15 07:09:13,EGCC-nadahassan,前端销售部001组,,学生缺席,-,未拨打,首次分配,2.0,2026-03-16 22:30 ~ 23:00,s_absent,,,,yes,no,weak_need,normal,no_issue,low_interest,rebook_trial,weak_need | normal | no_issue | low_interest
63095939,EGCC-nadahassan,2314(Maqsam),2026-05-05 19:53:02,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302190327.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000515&Signature=exX6FRTBbUmfdAtjk3GJKTsfejQ%3D,63095939,2026-05-05,MKT,1,2026-05-04 20:07:54,2026-05-04 20:08:55,EGCC-nadahassan,前端销售部001组,,未开始或未结束,-,接通>=20S,首次分配,1.0,2026-05-05 15:00 ~ 15:30,s_absent,,,,yes,no,weak_need,normal,no_issue,low_interest,rebook_trial,weak_need | normal | no_issue | low_interest
0,EGCC-nadahassan,2314(Maqsam),2026-05-05 19:35:05,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302181418.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000516&Signature=OTzFne04ZvAWbvV1LDiaC4UEcfs%3D,0,2026-05-05,,,,,,,,,,,,,,,,,,no,no,no_trial_or_not_aware,normal,no_issue,unknown,manual_review,no_trial_or_not_aware | normal | no_issue | unknown
63098252,EGCC-eman.amr,2289(Maqsam),2026-05-05 19:34:57,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-Eman.Amr.302181339.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000516&Signature=xWUi0ozwp%2B9SFK37aY7Whifjvk4%3D,63098252,2026-05-05,,,,,,,,,,,,2.0,2026-05-05 17:00 ~ 17:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
63074875,EGCC-nadahassan,2314(Maqsam),2026-05-05 18:54:08,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302162139.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000517&Signature=5ZFrNjUrFc7bQ%2BlPN%2BXNN8mFPz4%3D,63074875,2026-05-05,MKT,2,2026-05-02 03:42:54,2026-05-02 12:02:53,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,非首次分配,2.0,2026-05-06 19:30 ~ 20:00,end,,,,yes,no,good_need,normal,not_followed_after_trial,price_issue,close_payment,good_need | normal | not_followed_after_trial | price_issue
63094452,EGCC-nadahassan,2314(Maqsam),2026-05-05 18:41:38,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302156270.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000518&Signature=InLjui74AuvxHwkRsqP2qC08fcA%3D,63094452,2026-05-05,MKT,1,2026-05-04 16:42:30,2026-05-04 16:43:30,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,首次分配,1.0,2026-05-04 18:30 ~ 19:00,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
63098252,EGCC-eman.amr,2289(Maqsam),2026-05-05 18:39:45,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-Eman.Amr.302155332.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000518&Signature=nentEdz0NODyu5fUnARubG2TddE%3D,63098252,2026-05-05,,,,,,,,,,,,2.0,2026-05-05 17:00 ~ 17:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
63090231,EGCC-nadahassan,2314(Maqsam),2026-05-05 18:21:20,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302146075.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000521&Signature=wK23ny0iYAr4Uo6YgHJgQz8OgII%3D,63090231,2026-05-05,MKT,1,2026-05-04 06:35:03,2026-05-04 06:36:03,EGCC-nadahassan,前端销售部001组,,已取消,-,未拨打,首次分配,1.0,2026-05-05 20:30 ~ 21:00,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
63090259,EGCC-nadahassan,2314(Maqsam),2026-05-05 17:53:21,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302131104.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000523&Signature=A3sf5ZRMYE7PB5hk1aEZsTa6svg%3D,63090259,2026-05-05,MKT,2,2026-05-04 07:21:18,2026-05-04 18:43:47,EGCC-nadahassan,前端销售部001组,,未开始或未结束,-,未拨打,非首次分配,1.0,2026-05-05 20:30 ~ 21:00,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
62517281,EGCC-nadahassan,2314(Maqsam),2026-05-05 17:47:42,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302128072.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000523&Signature=knZ0%2FpnOnA6Bxwz0aAN159NmHy4%3D,62517281,2026-05-05,,,,,,,,,,,,2.0,2026-02-16 17:00 ~ 17:30,end,1.0,840.0,2026-05-03 18:24:14,yes,yes,good_need,normal,no_issue,unknown,renewal_followup,good_need | normal | no_issue | unknown
63096714,EGCC-eman.amr,2289(Maqsam),2026-05-05 17:41:12,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-Eman.Amr.302124661.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000523&Signature=yU264Sz5OckPdg6zXxGHbvttSH8%3D,63096714,2026-05-05,,,,,,,,,,,,2.0,2026-05-05 18:30 ~ 19:00,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
63098568,EGCC-nadahassan,2314(Maqsam),2026-05-05 17:26:29,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302116275.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000524&Signature=T%2FXSq7WC3%2FvTO0Un23kzbwit0Bs%3D,63098568,2026-05-05,,,,,,,,,,,,1.0,2026-05-05 17:00 ~ 17:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
63081772,EGCC-eman.amr,2289(Maqsam),2026-05-05 17:07:08,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-Eman.Amr.302105711.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000525&Signature=mYmlzChqVdz7e2C5Rxwl5JWxah4%3D,63081772,2026-05-05,MKT,1,2026-05-03 00:17:33,2026-05-03 00:18:34,EGCC-eman.amr,前端销售部001组,,已结束,-,接通>=20S,首次分配,2.0,2026-05-04 19:00 ~ 19:30,s_absent,1.0,600.0,2026-05-05 15:20:54,yes,yes,weak_need,normal,no_issue,low_interest,renewal_followup,weak_need | normal | no_issue | low_interest
62379777,EGCC-nadahassan,2314(Maqsam),2026-05-05 01:51:51,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-NadaHassan.302001844.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000526&Signature=iu4ZVO52ITgie5zorAb6falYv7Y%3D,62379777,2026-05-05,MKT,2,2026-01-25 23:09:57,2026-01-26 15:33:23,EGCC-nadahassan,前端销售部001组,,已结束,-,接通>=20S,非首次分配,1.0,2026-02-08 21:00 ~ 21:30,end,,,,yes,no,good_need,normal,not_followed_after_trial,price_issue,close_payment,good_need | normal | not_followed_after_trial | price_issue
63089389,EGCC-eman.amr,2289(Maqsam),2026-05-05 01:34:03,,,,双方接通,http://pd-fscall-record.oss-cn-hongkong.aliyuncs.com/2026-05-05/maqsam-Eman.Amr.301998121.mp3?OSSAccessKeyId=LTAI5t8sBUhKT5YzXBHvmGGq&Expires=1778000526&Signature=xFspLH04wAhUuMMSkVI68ENyrd4%3D,63089389,2026-05-05,MKT,1,2026-05-04 03:38:36,2026-05-04 03:39:37,EGCC-eman.amr,前端销售部001组,,学生缺席,-,接通>=20S,首次分配,2.0,2026-05-04 20:00 ~ 20:30,cancel,,,,yes,no,weak_need,normal,no_issue,schedule_issue,rebook_trial,weak_need | normal | no_issue | schedule_issue
