analysis_id,recording_key,voice_id,user_id,sales_name,group_name,call_time,call_status,call_stage,stage_confidence,summary_ar,attendance_intent,attendance_risk,cancel_absence_reason,cancel_absence_reason_ar,need_reschedule,reschedule_time,teacher_preference,level_signal,price_sensitivity,parent_involvement_needed,trial_satisfaction,student_level_summary_ar,learning_goal_ar,pain_points_ar,purchase_intent,purchase_intent_reason_ar,main_objection,main_objection_ar,payment_blocker,other_reason_ar,other_objection_ar,manual_review_reason_ar,next_action_ar,target_pool,priority,should_create_task,analysis_status,analysis_error,raw_ai_json,analyzed_at,created_at,updated_at,play_url,down_url,oss_object_key,oss_signed_url,transcript_text,transcript_status,transcript_error,asr_task_id,asr_model,transcribed_at,lead_quality,course_feedback,fraud_risk,followup_issue,next_action,reason_ar
analysis_voice_599280297,voice_599280297,599280297,62955965,EGCC-maiwaheed,2313(Maqsam),2026-04-22 00:03:37,双方接通,unknown,low,المكالمة غير واضحة ومتقطعة للغاية، تحتوي على جمل غير مترابطة وعبارات لا تتعلق بخدمة التعليم الإنجليزية. لا يمكن تحديد الغرض منها أو مرحلة العميل بشكل دقيق.,unclear,unclear,not_applicable,,unclear,,unclear,unclear,unclear,unclear,unclear,,,,unclear,,unknown,,not_applicable,,,"المكالمة غير واضحة ومتقطعة للغاية، تحتوي على جمل غير مترابطة وعبارات لا تتعلق بخدمة التعليم الإنجليزية (مثل ""أجرب تويتر في الماركت""). لا يمكن تحديد مرحلة العميل أو غرض المكالمة.",يجب مراجعة المكالمة يدوياً لفهم السياق أو تحديد ما إذا كانت مكالمة خاطئة أو غير ذات صلة.,manual_review_pool,medium,true,success,,"{""call_stage"": ""unknown"", ""stage_confidence"": ""low"", ""summary_ar"": ""المكالمة غير واضحة ومتقطعة للغاية، تحتوي على جمل غير مترابطة وعبارات لا تتعلق بخدمة التعليم الإنجليزية. لا يمكن تحديد الغرض منها أو مرحلة العميل بشكل دقيق."", ""attendance_intent"": ""unclear"", ""attendance_risk"": ""unclear"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": """", ""need_reschedule"": ""unclear"", ""reschedule_time"": """", ""teacher_preference"": ""unclear"", ""level_signal"": ""unclear"", ""price_sensitivity"": ""unclear"", ""parent_involvement_needed"": ""unclear"", ""trial_satisfaction"": ""unclear"", ""student_level_summary_ar"": """", ""learning_goal_ar"": """", ""pain_points_ar"": """", ""purchase_intent"": ""unclear"", ""purchase_intent_reason_ar"": """", ""main_objection"": ""unknown"", ""main_objection_ar"": """", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": """", ""other_objection_ar"": """", ""manual_review_reason_ar"": ""المكالمة غير واضحة ومتقطعة للغاية، تحتوي على جمل غير مترابطة وعبارات لا تتعلق بخدمة التعليم الإنجليزية (مثل \""أجرب تويتر في الماركت\""). لا يمكن تحديد مرحلة العميل أو غرض المكالمة."", ""next_action_ar"": ""يجب مراجعة المكالمة يدوياً لفهم السياق أو تحديد ما إذا كانت مكالمة خاطئة أو غير ذات صلة."", ""target_pool"": ""manual_review_pool"", ""priority"": ""medium"", ""should_create_task"": true}",2026-04-26 00:35:06,2026-04-26 00:35:06,2026-04-26 00:35:06,,,,,,,,,,,,,,,,
analysis_voice_599281493,voice_599281493,599281493,62979667,EGCC-fatmamohamed,2310(Maqsam),2026-04-22 00:14:35,双方接通,unknown,low,,,,,,,,,,,,,,,,,,,,,,,فشل تحليل المكالمة آليًا، وتحتاج إلى مراجعة يدوية.,,manual_review_pool,medium,true,failed,"No JSON object found in Gemini response: { ""call_stage"": ""unknown"", ""stage_confidence"": ""medium"", ""summary_ar"": ""العميل يتحدث عن رغبته في تحسين مهارة التحدث باللغة الإنجليزية ويريد تقييم مستواه. ذكر أنه يعرف الحروف ويستطيع القراءة، لكنه يهدف إلى التحدث بطلاقة. في نهاية المكالمة، ذكر أنه مشغول حالياً ويرغب في التحدث في وقت آخر. كان هناك بعض التشويش في الصوت خلال المكالمة."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_absence_reason"": ""not_applicable"",",,2026-04-26 00:39:00,2026-04-26 00:39:00,2026-04-26 00:39:00,,,,,,,,,,,,,,,,
analysis_voice_599283551,voice_599283551,599283551,62969756,EGCC-maiwaheed,2313(Maqsam),2026-04-22 00:26:18,双方接通,post_class_followup,medium,الأب قرر إحضار معلمة للمنزل ويرى أن التعليم الحضوري أفضل من التعليم عن بعد. الأب مشغول بالعمل.,not_applicable,not_applicable,online_mode_concern,الأب يفضل التعليم الحضوري في المنزل على التعليم عن بعد.,no,,not_applicable,not_applicable,not_applicable,yes,low,not_applicable,not_applicable,not_applicable,low,الأب يفضل التعليم الحضوري في المنزل على التعليم عن بعد.,online_mode_concern,الأب يفضل التعليم الحضوري في المنزل ويرى أنه أفضل من التعليم عن بعد.,not_applicable,,,,لا يوجد اهتمام بالتعليم عن بعد، يمكن إغلاق الفرصة أو محاولة فهم إمكانية تغيير الرأي مستقبلاً.,low_priority_pool,low,true,success,,"{""call_stage"": ""post_class_followup"", ""stage_confidence"": ""medium"", ""summary_ar"": ""الأب قرر إحضار معلمة للمنزل ويرى أن التعليم الحضوري أفضل من التعليم عن بعد. الأب مشغول بالعمل."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_absence_reason"": ""online_mode_concern"", ""cancel_absence_reason_ar"": ""الأب يفضل التعليم الحضوري في المنزل على التعليم عن بعد."", ""need_reschedule"": ""no"", ""reschedule_time"": null, ""teacher_preference"": ""not_applicable"", ""level_signal"": ""not_applicable"", ""price_sensitivity"": ""not_applicable"", ""parent_involvement_needed"": ""yes"", ""trial_satisfaction"": ""low"", ""student_level_summary_ar"": ""not_applicable"", ""learning_goal_ar"": ""not_applicable"", ""pain_points_ar"": ""not_applicable"", ""purchase_intent"": ""low"", ""purchase_intent_reason_ar"": ""الأب يفضل التعليم الحضوري في المنزل على التعليم عن بعد."", ""main_objection"": ""online_mode_concern"", ""main_objection_ar"": ""الأب يفضل التعليم الحضوري في المنزل ويرى أنه أفضل من التعليم عن بعد."", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": null, ""next_action_ar"": ""لا يوجد اهتمام بالتعليم عن بعد، يمكن إغلاق الفرصة أو محاولة فهم إمكانية تغيير الرأي مستقبلاً."", ""target_pool"": ""low_priority_pool"", ""priority"": ""low"", ""should_create_task"": true}",2026-04-26 00:39:13,2026-04-26 00:39:13,2026-04-26 00:39:13,,,,,,,,,,,,,,,,
analysis_voice_599284902,voice_599284902,599284902,61875055,EGCC-maiwaheed,2313(Maqsam),2026-04-22 00:34:03,双方接通,no_answer_or_voicemail,high,المكالمة قصيرة جداً وغير واضحة، لا يوجد محادثة حقيقية مع العميل. يبدو أنها مجرد تحية متكررة.,not_applicable,not_applicable,not_applicable,,not_applicable,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,not_applicable,,not_applicable,,not_applicable,,,,إعادة الاتصال بالعميل لمحاولة التواصل وفهم الغرض من المكالمة.,callback_pool,medium,true,success,,"{""call_stage"": ""no_answer_or_voicemail"", ""stage_confidence"": ""high"", ""summary_ar"": ""المكالمة قصيرة جداً وغير واضحة، لا يوجد محادثة حقيقية مع العميل. يبدو أنها مجرد تحية متكررة."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": null, ""need_reschedule"": ""not_applicable"", ""reschedule_time"": null, ""teacher_preference"": ""not_applicable"", ""level_signal"": ""not_applicable"", ""price_sensitivity"": ""not_applicable"", ""parent_involvement_needed"": ""not_applicable"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": null, ""learning_goal_ar"": null, ""pain_points_ar"": null, ""purchase_intent"": ""not_applicable"", ""purchase_intent_reason_ar"": null, ""main_objection"": ""not_applicable"", ""main_objection_ar"": null, ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": null, ""next_action_ar"": ""إعادة الاتصال بالعميل لمحاولة التواصل وفهم الغرض من المكالمة."", ""target_pool"": ""callback_pool"", ""priority"": ""medium"", ""should_create_task"": true}",2026-04-26 00:40:44,2026-04-26 00:40:44,2026-04-26 00:40:44,,,,,,,,,,,,,,,,
analysis_voice_599284994,voice_599284994,599284994,62803877,EGCC-maiwaheed,2313(Maqsam),2026-04-22 00:39:02,双方接通,post_class_followup,high,المكالمة بعد تجربة أو استفسار مبدئي. العميل مهتم بالخدمة ولكن لديه عائق مادي يمنعه من الاشتراك حالياً، ويطلب معرفة الأقساط الشهرية ويؤجل القرار للشهر القادم.,not_applicable,not_applicable,not_applicable,,not_applicable,,not_applicable,not_applicable,high,unclear,high,,,,medium,العميل مهتم بالخدمة ويسأل عن الأقساط، لكن لديه عائق مادي حالياً.,price,العائق المادي وعدم القدرة على الدفع حالياً.,insufficient_cash,,,,متابعة العميل الشهر القادم للاستفسار عن تحسن الوضع المادي وإمكانية الاشتراك. يمكن تقديم عروض مرنة للدفع إذا كانت متاحة.,payment_blocked_pool,medium,true,success,,"{""call_stage"": ""post_class_followup"", ""stage_confidence"": ""high"", ""summary_ar"": ""المكالمة بعد تجربة أو استفسار مبدئي. العميل مهتم بالخدمة ولكن لديه عائق مادي يمنعه من الاشتراك حالياً، ويطلب معرفة الأقساط الشهرية ويؤجل القرار للشهر القادم."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": null, ""need_reschedule"": ""not_applicable"", ""reschedule_time"": null, ""teacher_preference"": ""not_applicable"", ""level_signal"": ""not_applicable"", ""price_sensitivity"": ""high"", ""parent_involvement_needed"": ""unclear"", ""trial_satisfaction"": ""high"", ""student_level_summary_ar"": null, ""learning_goal_ar"": null, ""pain_points_ar"": null, ""purchase_intent"": ""medium"", ""purchase_intent_reason_ar"": ""العميل مهتم بالخدمة ويسأل عن الأقساط، لكن لديه عائق مادي حالياً."", ""main_objection"": ""price"", ""main_objection_ar"": ""العائق المادي وعدم القدرة على الدفع حالياً."", ""payment_blocker"": ""insufficient_cash"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": null, ""next_action_ar"": ""متابعة العميل الشهر القادم للاستفسار عن تحسن الوضع المادي وإمكانية الاشتراك. يمكن تقديم عروض مرنة للدفع إذا كانت متاحة."", ""target_pool"": ""payment_blocked_pool"", ""priority"": ""medium"", ""should_create_task"": true}",2026-04-26 00:40:58,2026-04-26 00:40:58,2026-04-26 00:40:58,,,,,,,,,,,,,,,,
analysis_voice_599286079,voice_599286079,599286079,62977465,EGCC-fatmamohamed,2310(Maqsam),2026-04-22 00:48:03,双方接通,post_class_followup,medium,العميل مشغول جدًا ولم يتمكن من التنسيق مع زوجته لاتخاذ قرار بخصوص الخدمة بعد.,not_applicable,not_applicable,not_applicable,,not_applicable,,not_applicable,not_applicable,unclear,yes,unclear,,,,unclear,,need_parent_approval,يحتاج العميل لمناقشة الأمر مع زوجته لاتخاذ القرار النهائي بخصوص الخدمة.,not_applicable,العميل مشغول جدًا ولم يجد الوقت الكافي للتنسيق مع زوجته لاتخاذ القرار.,,,يجب إعادة الاتصال بالعميل في وقت لاحق بعد أن يتمكن من التنسيق مع زوجته لاتخاذ القرار.,parent_approval_pool,medium,true,success,,"{""call_stage"": ""post_class_followup"", ""stage_confidence"": ""medium"", ""summary_ar"": ""العميل مشغول جدًا ولم يتمكن من التنسيق مع زوجته لاتخاذ قرار بخصوص الخدمة بعد."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": null, ""need_reschedule"": ""not_applicable"", ""reschedule_time"": null, ""teacher_preference"": ""not_applicable"", ""level_signal"": ""not_applicable"", ""price_sensitivity"": ""unclear"", ""parent_involvement_needed"": ""yes"", ""trial_satisfaction"": ""unclear"", ""student_level_summary_ar"": null, ""learning_goal_ar"": null, ""pain_points_ar"": null, ""purchase_intent"": ""unclear"", ""purchase_intent_reason_ar"": null, ""main_objection"": ""need_parent_approval"", ""main_objection_ar"": ""يحتاج العميل لمناقشة الأمر مع زوجته لاتخاذ القرار النهائي بخصوص الخدمة."", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": ""العميل مشغول جدًا ولم يجد الوقت الكافي للتنسيق مع زوجته لاتخاذ القرار."", ""other_objection_ar"": null, ""manual_review_reason_ar"": null, ""next_action_ar"": ""يجب إعادة الاتصال بالعميل في وقت لاحق بعد أن يتمكن من التنسيق مع زوجته لاتخاذ القرار."", ""target_pool"": ""parent_approval_pool"", ""priority"": ""medium"", ""should_create_task"": true}",2026-04-26 00:42:30,2026-04-26 00:42:30,2026-04-26 00:42:30,,,,,,,,,,,,,,,,
analysis_voice_599287856,voice_599287856,599287856,62697778,EGCC-maiwaheed,2313(Maqsam),2026-04-22 00:59:35,双方接通,unknown,high,العميل يوضح أن الطالب (عبد الله) مسجل بالفعل في برنامج تعليمي آخر عن طريق المدرسة ومنصة 'نون للأيتام' بسبب ظروفه الخاصة (يتيم). كما ذكرت العميل أنها لا تملك المال لتسجيله في منصتنا بسبب الظروف الصعبة.,not_applicable,not_applicable,already_joined_other_course,الطالب مسجل بالفعل في برنامج تعليمي آخر عن طريق المدرسة ومنصة 'نون للأيتام'. بالإضافة إلى ذلك، العميل ذكرت عدم قدرتها المالية على التسجيل.,not_applicable,,not_applicable,not_applicable,high,yes,not_applicable,,,,low,الطالب مسجل بالفعل في برنامج آخر، والعميل ذكرت عدم قدرتها المالية على التسجيل في منصتنا.,already_has_course,الطالب مسجل بالفعل في برنامج تعليمي آخر. بالإضافة إلى ذلك، هناك اعتراض على السعر وعدم القدرة المالية.,insufficient_cash,,,,لا يوجد إجراء متابعة مطلوب. الطالب مسجل بالفعل في برنامج آخر والعميل ليس لديها القدرة المالية. يجب إغلاق هذا العميل كـ 'غير مؤهل'.,no_task,low,false,success,,"{""call_stage"": ""unknown"", ""stage_confidence"": ""high"", ""summary_ar"": ""العميل يوضح أن الطالب (عبد الله) مسجل بالفعل في برنامج تعليمي آخر عن طريق المدرسة ومنصة 'نون للأيتام' بسبب ظروفه الخاصة (يتيم). كما ذكرت العميل أنها لا تملك المال لتسجيله في منصتنا بسبب الظروف الصعبة."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_absence_reason"": ""already_joined_other_course"", ""cancel_absence_reason_ar"": ""الطالب مسجل بالفعل في برنامج تعليمي آخر عن طريق المدرسة ومنصة 'نون للأيتام'. بالإضافة إلى ذلك، العميل ذكرت عدم قدرتها المالية على التسجيل."", ""need_reschedule"": ""not_applicable"", ""reschedule_time"": null, ""teacher_preference"": ""not_applicable"", ""level_signal"": ""not_applicable"", ""price_sensitivity"": ""high"", ""parent_involvement_needed"": ""yes"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": null, ""learning_goal_ar"": null, ""pain_points_ar"": null, ""purchase_intent"": ""low"", ""purchase_intent_reason_ar"": ""الطالب مسجل بالفعل في برنامج آخر، والعميل ذكرت عدم قدرتها المالية على التسجيل في منصتنا."", ""main_objection"": ""already_has_course"", ""main_objection_ar"": ""الطالب مسجل بالفعل في برنامج تعليمي آخر. بالإضافة إلى ذلك، هناك اعتراض على السعر وعدم القدرة المالية."", ""payment_blocker"": ""insufficient_cash"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": null, ""next_action_ar"": ""لا يوجد إجراء متابعة مطلوب. الطالب مسجل بالفعل في برنامج آخر والعميل ليس لديها القدرة المالية. يجب إغلاق هذا العميل كـ 'غير مؤهل'."", ""target_pool"": ""no_task"", ""priority"": ""low"", ""should_create_task"": false}",2026-04-26 00:44:15,2026-04-26 00:44:15,2026-04-26 00:44:15,,,,,,,,,,,,,,,,
analysis_voice_599288080,voice_599288080,599288080,62981834,51nadamuhammad,2245(Maqsam),2026-04-22 01:01:42,双方接通,pre_class_confirm,high,العميل يطلب معلم/ة عربي/ة، ويطلب تغيير موعد الدرس إلى الصباح (9 أو 10 صباحاً). يستفسر عن الرسوم ويذكر أن والده هو المسؤول عن الدفع وليس لديه جوال، وسيوافق الوالد على الخطة قبل المتابعة. العميل طلب التواصل معه في المنزل لمناقشة الأمر مع الوالد.,unclear,unclear,not_applicable,غير منطبق,yes,صباحاً (9 أو 10 صباحاً),arabic_teacher,unclear,high,yes,not_applicable,غير واضح,غير مذكور بوضوح، لكن ضمنياً تحسين اللغة الإنجليزية مع معلم عربي.,الحاجة لمعلم عربي، الحاجة لتغيير موعد الدرس، الحاجة لموافقة الوالد على الدفع.,medium,العميل يستفسر عن الرسوم ويناقش آلية الدفع، مما يدل على اهتمام مبدئي، لكن القرار النهائي يعتمد على موافقة الوالد وتوفر المعلم والوقت المناسبين.,need_parent_approval,الحاجة لموافقة الوالد على الدفع.,parent_controls_payment,غير منطبق,غير منطبق,غير منطبق,المتابعة مع العميل بعد موافقة الوالد لعرض الخطة وتأكيد الموعد والمعلم العربي.,parent_approval_pool,high,true,success,,"{""call_stage"": ""pre_class_confirm"", ""stage_confidence"": ""high"", ""summary_ar"": ""العميل يطلب معلم/ة عربي/ة، ويطلب تغيير موعد الدرس إلى الصباح (9 أو 10 صباحاً). يستفسر عن الرسوم ويذكر أن والده هو المسؤول عن الدفع وليس لديه جوال، وسيوافق الوالد على الخطة قبل المتابعة. العميل طلب التواصل معه في المنزل لمناقشة الأمر مع الوالد."", ""attendance_intent"": ""unclear"", ""attendance_risk"": ""unclear"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": ""غير منطبق"", ""need_reschedule"": ""yes"", ""reschedule_time"": ""صباحاً (9 أو 10 صباحاً)"", ""teacher_preference"": ""arabic_teacher"", ""level_signal"": ""unclear"", ""price_sensitivity"": ""high"", ""parent_involvement_needed"": ""yes"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": ""غير واضح"", ""learning_goal_ar"": ""غير مذكور بوضوح، لكن ضمنياً تحسين اللغة الإنجليزية مع معلم عربي."", ""pain_points_ar"": ""الحاجة لمعلم عربي، الحاجة لتغيير موعد الدرس، الحاجة لموافقة الوالد على الدفع."", ""purchase_intent"": ""medium"", ""purchase_intent_reason_ar"": ""العميل يستفسر عن الرسوم ويناقش آلية الدفع، مما يدل على اهتمام مبدئي، لكن القرار النهائي يعتمد على موافقة الوالد وتوفر المعلم والوقت المناسبين."", ""main_objection"": ""need_parent_approval"", ""main_objection_ar"": ""الحاجة لموافقة الوالد على الدفع."", ""payment_blocker"": ""parent_controls_payment"", ""other_reason_ar"": ""غير منطبق"", ""other_objection_ar"": ""غير منطبق"", ""manual_review_reason_ar"": ""غير منطبق"", ""next_action_ar"": ""المتابعة مع العميل بعد موافقة الوالد لعرض الخطة وتأكيد الموعد والمعلم العربي."", ""target_pool"": ""parent_approval_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 00:44:30,2026-04-26 00:44:30,2026-04-26 00:44:30,,,,,,,,,,,,,,,,
analysis_voice_599289473,voice_599289473,599289473,61235918,EGCC-eman.amr,2289(Maqsam),2026-04-22 01:10:50,双方接通,pre_class_reschedule,high,تتحدث الأم عن مسار ابنها التعليمي الحالي مع المعلمين المختلفين (مس نور، زوز، أستاذ أحمد) وتذكر أن ابنها لاحظ خطأ بسيطًا من معلمة سابقة. الهدف الرئيسي من المكالمة هو طلب إعادة جدولة الحصة الثالثة من يوم الخميس إلى يوم الأربعاء في نفس الموعد (3 مساءً) بسبب تعارض مع دوام الأم، كما ذكرت أن هناك اختبارًا لابنها الأسبوع القادم.,high,low,work_conflict,تعارض مع وقت دوام الأم,yes,الأربعاء الظهر نفس الموعد ثلاثة,no_preference,unclear,not_applicable,yes,not_applicable,الطالب (عزوز) يتابع دروسه حاليًا وسيخضع لاختبار الأسبوع القادم. درس مع مس نور وزوز، وسيستمر مع أستاذ أحمد. لاحظ الطالب خطأ بسيطًا من معلمة سابقة.,مواصلة تعلم اللغة الإنجليزية وتقييم مستوى الطالب عبر اختبار الأسبوع القادم. الأم مهتمة بفعالية أسلوب الشرح.,الأم تحتاج للتواجد مع ابنها أثناء الحصة، وهذا يتعارض مع دوامها يوم الخميس. لديها أيضًا قلق بسيط بشأن جودة المعلم ودقته.,not_applicable,not_applicable,schedule,تعارض في المواعيد بسبب دوام الأم,not_applicable,,,,تغيير موعد الحصة الثالثة من الخميس إلى الأربعاء الظهر (نفس موعد 3 مساءً) بسبب تعارض مع دوام الأم.,reschedule_pool,high,true,success,,"{""call_stage"": ""pre_class_reschedule"", ""stage_confidence"": ""high"", ""summary_ar"": ""تتحدث الأم عن مسار ابنها التعليمي الحالي مع المعلمين المختلفين (مس نور، زوز، أستاذ أحمد) وتذكر أن ابنها لاحظ خطأ بسيطًا من معلمة سابقة. الهدف الرئيسي من المكالمة هو طلب إعادة جدولة الحصة الثالثة من يوم الخميس إلى يوم الأربعاء في نفس الموعد (3 مساءً) بسبب تعارض مع دوام الأم، كما ذكرت أن هناك اختبارًا لابنها الأسبوع القادم."", ""attendance_intent"": ""high"", ""attendance_risk"": ""low"", ""cancel_absence_reason"": ""work_conflict"", ""cancel_absence_reason_ar"": ""تعارض مع وقت دوام الأم"", ""need_reschedule"": ""yes"", ""reschedule_time"": ""الأربعاء الظهر نفس الموعد ثلاثة"", ""teacher_preference"": ""no_preference"", ""level_signal"": ""unclear"", ""price_sensitivity"": ""not_applicable"", ""parent_involvement_needed"": ""yes"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": ""الطالب (عزوز) يتابع دروسه حاليًا وسيخضع لاختبار الأسبوع القادم. درس مع مس نور وزوز، وسيستمر مع أستاذ أحمد. لاحظ الطالب خطأ بسيطًا من معلمة سابقة."", ""learning_goal_ar"": ""مواصلة تعلم اللغة الإنجليزية وتقييم مستوى الطالب عبر اختبار الأسبوع القادم. الأم مهتمة بفعالية أسلوب الشرح."", ""pain_points_ar"": ""الأم تحتاج للتواجد مع ابنها أثناء الحصة، وهذا يتعارض مع دوامها يوم الخميس. لديها أيضًا قلق بسيط بشأن جودة المعلم ودقته."", ""purchase_intent"": ""not_applicable"", ""purchase_intent_reason_ar"": ""not_applicable"", ""main_objection"": ""schedule"", ""main_objection_ar"": ""تعارض في المواعيد بسبب دوام الأم"", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": null, ""next_action_ar"": ""تغيير موعد الحصة الثالثة من الخميس إلى الأربعاء الظهر (نفس موعد 3 مساءً) بسبب تعارض مع دوام الأم."", ""target_pool"": ""reschedule_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 00:45:49,2026-04-26 00:45:49,2026-04-26 00:45:49,,,,,,,,,,,,,,,,
analysis_voice_599293315,voice_599293315,599293315,0,EGCC-fatmamohamed,2310(Maqsam),2026-04-22 01:40:09,双方接通,unknown,low,,,,,,,,,,,,,,,,,,,,,,,فشل تحليل المكالمة آليًا، وتحتاج إلى مراجعة يدوية.,,manual_review_pool,medium,true,failed,"No JSON object found in Gemini response: { ""call_stage"": ""pre_class_confirm"", ""stage_confidence"": ""medium"", ""summary_ar"": ""المتصلة الفرداس، 21 سنة، مهتمة جداً بتعلم اللغة الإنجليزية من الصفر لتتمكن من التحدث والكتابة والفهم. لم تلتحق بالجامعة أو المدرسة وترغب في التعلم الذاتي. متاحة في المساء بعد الساعة 5 مساءً. يوجد تناقض في تفضيلها للمعلم (عربي أم أجنبي)."", ""attendance_intent"": ""high"", ""attendance_risk"": ""low"", ""cancel_absence_reason"": ""not_applicable",,2026-04-26 00:48:46,2026-04-26 00:48:46,2026-04-26 00:48:46,,,,,,,,,,,,,,,,
